🏠 กลับสู่หน้าแรก (Go to Home Page),,,,,,,,,,,,,,,
ข้อที่,คำถาม,รูปถาม,ตัวเลือก 1,ตัวเลือก 2,ตัวเลือก 3,ตัวเลือก 4,ตัวเลือก 5,เฉลย (ตัวเลข 1-5),คำอธิบายเฉลย,รูปเฉลย,Filter หมวด/Subtopic,Product / Clinic,หมายเหตุ,ประเภทข้อสอบ,ปี / เลขชุด
2,ข้อใดเป็นเทคนิคที่เหมาะสมในการพิสูจน์ chirality อัตลักษณ์ของวัตถุดิบยา Paclitaxel,,NIR (near infrared spectroscopy),Karl Fischer titration,Polarimeter,Refractometer,Mass spectrometry,3,"✅ คำตอบที่ถูกต้อง: ข้อ ค. Polarimeter

💡 Background:
สารที่มี Chiral center (มี asymmetric carbon) จะมีคุณสมบัติทางแสงเป็น Optically active compound ซึ่งสามารถบิดหมุนระนาบของแสงโพลาไรซ์ (Plane-polarized light) ได้

🎯 ทำไมข้อนี้ถึงถูก:
Polarimeter เป็นเครื่องมือมาตรฐานตามเภสัชตำรับ (USP/BP) ในการวัดค่า Specific rotation ([α]) เพื่อตรวจสอบ Chirality, Optical purity และใช้ในการระบุเอกลักษณ์ (Identification) ของวัตถุดิบยาที่มีไครัลเซนเตอร์ เช่น Paclitaxel

🔍 ข้ออื่นผิดเพราะอะไร:
• ข้อ ก. (NIR): ใช้ตรวจเอกลักษณ์ทางเคมีหรือความชื้นแบบไม่ทำลายตัวอย่าง ไม่ได้ใช้วัด optical rotation โดยตรง
• ข้อ ข. (Karl Fischer): ใช้หาปริมาณน้ำ (Water determination) ในตัวอย่าง
• ข้อ ง. (Refractometer): ใช้วัดค่าดัชนีหักเหของแสง (Refractive index) ของของเหลว ไม่จำเพาะต่อ chirality
• ข้อ จ. (Mass spectrometry): ใช้วัดมวลต่อประจุ (m/z) ไม่สามารถแยกความแตกต่างของ enantiomers ได้โดยตรง

📖 Guideline อ้างอิง:
USP <781> Optical Rotation & British Pharmacopoeia (BP) Standards

📌 จุดจำก่อนสอบ:
• Chirality / Optical Isomerism: ตรวจสอบด้วย Polarimeter เพื่อหาค่า Specific rotation
• Dextrorotatory (+) หมุนตามเข็มนาฬิกา / Levorotatory (-) หมุนทวนเข็มนาฬิกา / Racemic mixture = 0 องศา",Optical Rotation & Chirality,ข้อสอบ Product (Chirality Identification),Spectroscopy,Mock PLE-CC 1 ข้อ 74,Mock,Mock RxCU83
3,ในการควบคุมคุณภาพวัตถุดิบยา เภสัชตำรับระบุค่า specific rotation มีค่าอยู่ในช่วง -107° ถึง -109.5° เทคนิคหรือเครื่องมือใดต่อไปนี้เหมาะสมที่สุดสำหรับการตรวจวิเคราะห์ค่าดังกล่าว,,Polarimetry,NMR spectroscopy,IR spectroscopy,HPLC,Refractometry,1,"✅ คำตอบที่ถูกต้อง: ข้อ ก. Polarimetry

💡 Background:
ค่า Specific Rotation หรือค่าการหมุนจำเพาะ เป็นสมบัติทางกายภาพเฉพาะตัวของสารที่มี Chiral center ที่สามารถบิดหมุนระนาบแสงโพลาไรซ์ได้ (Optically active compounds)

🎯 ทำไมข้อนี้ถึงถูก:
Polarimetry เป็นเทคนิคที่ใช้เครื่อง Polarimeter ในการวัดมุมการบิดหมุนของแสงโพลาไรซ์ระนาบ (Observed optical rotation, α) โดยตรง จากนั้นนำมาคำนวณหาค่า Specific rotation ตามสูตร [α] = 100α / (l × c) เพื่อใช้ตรวจสอบเอกลักษณ์และความบริสุทธิ์ของตัวยา

🔍 ข้ออื่นผิดเพราะอะไร:
• ข้อ ข. (NMR): ใช้ตรวจโครงสร้างทางเคมีและตำแหน่งนิวเคลียสของไฮโดรเจนหรือคาร์บอน
• ข้อ ค. (IR): ใช้วิเคราะห์หมู่ฟังก์ชัน (Functional groups)
• ข้อ ง. (HPLC): ใช้แยกสาร หาปริมาณ (Assay) และตรวจสารปนเปื้อน (Related substances)
• ข้อ จ. (Refractometry): ใช้วัดค่าดัชนีหักเหของแสง (Refractive index) ของของเหลวบริสุทธิ์

📖 Guideline อ้างอิง:
USP <781> Optical Rotation & WHO Annex Guidelines for Quality Control of Pharmaceuticals

📌 จุดจำก่อนสอบ:
• ค่า Specific rotation ([α]): เครื่องมือตรวจวัดคือ Polarimeter / Polarimetry เสมอ",Polarimetry,ข้อสอบจริง PLE CC 1 (Product) ปี 2567 ข้อ 1,Spectroscopy,PLE_CC1_2567_Key ข้อ 3,ข้อสอบจริง,ปี 2567
4,ตามมาตรฐานเภสัชตำรับ USP กำหนดให้ Morphine sulphate มีค่า specific rotation อยู่ในช่วงที่กำหนด เทคนิคการวิเคราะห์ใดต่อไปนี้เหมาะสมที่สุดสำหรับการวัด specific rotation ของ Morphine sulphate,,Refractometry,Polarimetry,UV spectroscopy,HPLC,Mass spectrometry,2,"✅ คำตอบที่ถูกต้อง: ข้อ ข. Polarimetry

💡 Background:
Morphine sulphate เป็นสารกลุ่ม Opioid alkaloid ที่มีโครงสร้างโมเลกุลแบบ asymmetric (chiral center 5 ตำแหน่ง) จึงมีสมบัติเป็น optically active หมุนระนาบแสงโพลาไรซ์

🎯 ทำไมข้อนี้ถึงถูก:
Polarimetry เป็นเทคนิคที่มีกลไกการทำงานโดยการปล่อยแสงโพลาไรซ์ระนาบเดี่ยวผ่านสารละลายตัวอย่าง เพื่อวัดมุมองศาที่โครงสร้างโมเลกุลของสารบิดหมุนระนาบแสงไป แล้วคำนวณเป็นค่า Specific rotation ตามเกณฑ์ USP Monograph เพื่อยืนยันความบริสุทธิ์และเอกลักษณ์ของตัวยา

🔍 ข้ออื่นผิดเพราะอะไร:
• ข้อ ก. (Refractometry): ใช้วัด Refractive index ของสารละลาย ไม่สามารถวัดค่า specific rotation ได้
• ข้อ ค. (UV spectroscopy): วัดการดูดกลืนแสงของโครโมฟอร์ (Chromophore) เพื่อหาความเข้มข้น
• ข้อ ง. (HPLC): ใช้แยกสารและหาปริมาณ ไม่ได้วัดการหมุนแสงโพลาไรซ์โดยตรง (เว้นแต่ติด chiral detector พิเศษ)
• ข้อ จ. (Mass spectrometry): วิเคราะห์มวลโมเลกุลและ fragmentation pattern

📖 Guideline อ้างอิง:
USP-NF Official Monograph: Morphine Sulfate & USP <781> Optical Rotation

📌 จุดจำก่อนสอบ:
• Monograph Morphine Sulfate Specific Rotation: ตรวจสอบด้วย Polarimetry เท่านั้น",Polarimetry,ข้อสอบจริง PLE CC 1 (Product) ปี 2567 ข้อ 2,Spectroscopy,PLE_CC1_2567_Set1_Key ข้อ 16,ข้อสอบจริง,ปี 2567
5,ในการตรวจวิเคราะห์ทางเภสัชกรรม หากได้รับภาพผลการวิเคราะห์ด้วยเทคนิค Infrared Spectroscopy (IR Spectrum) ภาพดังกล่าวมีวัตถุประสงค์หลักเพื่อใช้ตรวจสอบหรือระบุสิ่งใด,,Functional group (หมู่ฟังก์ชันในโมเลกุล),Electrospray Ionization Mass (m/z),Optical Rotation via Polarimeter,Refractive Index via Abbe Refractometer,Melting point and thermal behavior,1,"✅ คำตอบที่ถูกต้อง: ข้อ ก. Functional group (หมู่ฟังก์ชันในโมเลกุล)

💡 Background:
Infrared (IR) Spectroscopy เป็นเทคนิคการดูดกลืนรังสีอินฟราเรดที่ทำให้เกิดการสั่นของพันธะเคมี (Vibrational transitions) ภายในโมเลกุล

🎯 ทำไมข้อนี้ถึงถูก:
IR Spectrum แสดงพีคการดูดกลืนแสงที่ความถี่/เลขคลื่น (Wavenumber, cm⁻¹) เฉพาะของพันธะเคมีแต่ละชนิด จึงเป็นเทคนิคหลักที่ใช้ระบุหมู่ฟังก์ชัน (Functional group region: 4000-1500 cm⁻¹) และใช้ยืนยันเอกลักษณ์โครงสร้างด้วยบริเวณลายนิ้วมือโมเลกุล (Fingerprint region: 1500-400 cm⁻¹)

🔍 ข้ออื่นผิดเพราะอะไร:
• ข้อ ข. (Mass m/z): ตรวจด้วย Mass Spectrometry (MS)
• ข้อ ค. (Optical Rotation): ตรวจด้วย Polarimeter
• ข้อ ง. (Refractive Index): ตรวจด้วย Abbe Refractometer
• ข้อ จ. (Thermal behavior): ตรวจด้วย DSC หรือ Melting point apparatus

📖 Guideline อ้างอิง:
USP <197> Spectrophotometric Identification Tests & Silverstein Spectrometric Identification

📌 จุดจำก่อนสอบ:
• IR Spectroscopy Core Utility: ระบุ Functional groups และเปรียบเทียบ Fingerprint region กับ Reference Standard",Infrared (IR) Spectroscopy,ข้อสอบจริง PLE CC 1 (Product) ปี 2566 ข้อ 4,Spectroscopy,PLE-CC1 ปี 2566 Day 1 ข้อ 29,ข้อสอบจริง,ปี 2566
6,"ในการควบคุมคุณภาพเภสัชภัณฑ์ตามมาตรฐานสากล (ICH Q3D / USP <232>, <233>) หากต้องการตรวจวิเคราะห์หาปริมาณสิ่งเจือปนประเภทธาตุโลหะหนัก (Elemental Impurities เช่น As, Cd, Pb, Hg) ในวัตถุดิบหรือยาสำเร็จรูป เทคนิคหรือเครื่องมือใดต่อไปนี้เหมาะสมที่สุด",,Inductively Coupled Plasma Spectroscopy (ICP-MS หรือ ICP-OES),Fourier Transform Infrared Spectroscopy (FT-IR),UV-Vis Spectrophotometry,Refractive Index via Abbe Refractometer,Differential Scanning Calorimetry (DSC),1,"✅ คำตอบที่ถูกต้อง: ข้อ ก. Inductively Coupled Plasma Spectroscopy (ICP-MS หรือ ICP-OES)

💡 Background:
การควบคุมสิ่งเจือปนประเภทโลหะหนัก (Elemental Impurities) ในเภสัชภัณฑ์ ตามเกณฑ์ ICH Q3D และ USP <232>/<233> กำหนดขีดจำกัดความปลอดภัยของโลหะที่เป็นพิษสูง (เช่น สารหนู ตะกั่ว แคดเมียม ปรอท) ในระดับร่องรอย (ppb ถึง ppm)

🎯 ทำไมข้อนี้ถึงถูก:
USP <233> กำหนดให้ใช้เทคนิค Inductively Coupled Plasma ควบคู่กับ Mass Spectrometry (ICP-MS) หรือ Optical Emission Spectrometry (ICP-OES) เป็นวิธีมาตรฐาน เนื่องจากพลาสมาอุณหภูมิสูง (6,000-10,000 K) สามารถแตกตัวธาตุทุกชนิดให้เป็นอะตอมและไอออนเดี่ยวได้อย่างสมบูรณ์ มีความจำเพาะสูงมาก สามารถวิเคราะห์หลายธาตุพร้อมกัน (Multi-elemental analysis) และมีขีดจำกัดในการตรวจวัดต่ำมากในระดับ trace/ultratrace level (ppb/ppt)

🔍 ข้ออื่นผิดเพราะอะไร:
• ข้อ ข. (FT-IR): ใช้ตรวจหมู่ฟังก์ชันและพันธะโควาเลนต์ในสารอินทรีย์ ไม่สามารถตรวจโลหะเดี่ยวในระดับร่องรอยได้
• ข้อ ค. (UV-Vis): ความจำเพาะและความไวไม่เพียงพอสำหรับการตรวจ elemental impurities ที่ซับซ้อนตามเกณฑ์ USP
• ข้อ ง. (Refractometer): วัดดัชนีหักเหของของเหลว
• ข้อ จ. (DSC): วัดการเปลี่ยนแปลงทางความร้อนของของแข็ง

📖 Guideline อ้างอิง:
ICH Q3D Guideline for Elemental Impurities & USP <233> Elemental Impurities – Procedures

📌 จุดจำก่อนสอบ:
• Elemental Impurities Standard Methods: ICP-OES หรือ ICP-MS ตาม USP <233> / ICH Q3D เสมอ",Atomic Spectroscopy & Elemental Impurities,ข้อสอบจริง PLE CC 1 ปี 2566 Day 2 ข้อ 90,Spectroscopy,PLE-CC1 ปี 2566 Day 2 ข้อ 1,ข้อสอบจริง,ปี 2566
7,ในการทดสอบความถูกต้องของวิธีวิเคราะห์ที่พัฒนาขึ้นเองในห้องปฏิบัติการ (In-house analytical method validation) สำหรับการหาปริมาณตัวยาสำคัญ (Assay) ด้วยเทคนิค UV-Vis Spectrophotometry ตามแนวทาง ICH Q2(R1) และ USP <1225> หัวข้อใดต่อไปนี้ไม่มีความจำเป็นต้องประเมิน (ไม่ต้อง validate),,Limit of Detection (LOD; ขีดจำกัดต่ำสุดที่สามารถตรวจพบได้),Specificity (ความจำเพาะในการตรวจวิเคราะห์ตัวยาสำคัญท่ามกลางสารช่วยในตำรับ),Accuracy (ความถูกต้อง โดยประเมินค่า %Recovery),Precision (ความเที่ยง ทั้ง Repeatability และ Intermediate precision),Linearity and Range (ความเป็นเส้นตรงและช่วงการวิเคราะห์),1,"✅ คำตอบที่ถูกต้อง: ข้อ ก. Limit of Detection (LOD; ขีดจำกัดต่ำสุดที่สามารถตรวจพบได้)

💡 Background:
การทำ Validation วิธีวิเคราะห์ตามแนวทาง ICH Q2(R1) และ USP <1225> แบ่งกลุ่มการทดสอบตามวัตถุประสงค์ของการวิเคราะห์ เช่น การหาปริมาณตัวยาสำคัญ (Category I: Assay) หรือการตรวจหาสิ่งเจือปน (Category II: Impurities testing)

🎯 ทำไมข้อนี้ถึงถูก:
สำหรับวิธีตรวจวิเคราะห์หาปริมาณตัวยาสำคัญ (Assay / Content uniformity) ความเข้มข้นของตัวยาในสารละลายทดสอบจะอยู่ในระดับสูง (ปกติประมาณ 80-120% ของ label claim) จึงต้องประเมิน Specificity, Linearity, Range, Accuracy และ Precision เป็นหลัก โดย ไม่จำเป็นต้องประเมิน Limit of Detection (LOD) เนื่องจาก LOD เป็นพารามิเตอร์ที่จำเป็นสำหรับการทดสอบสิ่งเจือปนหรือสารปนเปื้อนปริมาณน้อย (Limit tests of impurities) เท่านั้น

🔍 ข้ออื่นผิดเพราะอะไร:
• ข้อ ข., ค., ง., จ.: เป็นหัวข้อหลักบังคับ (Mandatory parameters) สำหรับการ validate วิธี Assay ทุกวิธีตาม ICH Q2(R1)

📖 Guideline อ้างอิง:
ICH Harmonised Tripartite Guideline Q2(R1) Validation of Analytical Procedures & USP <1225> Validation of Compendial Procedures

📌 จุดจำก่อนสอบ:
• Assay Validation Parameters: Specificity, Linearity, Range, Accuracy, Precision (ไม่ต้องทำ LOD และ LOQ)
• Quantitative Impurity Testing: ต้องทำครบทุกหัวข้อรวมถึง LOQ
• Limit Test of Impurity: ต้องทำ Specificity และ LOD",Analytical Method Validation (ICH Q2),ข้อสอบจริง PLE CC 1 ปี 2566 Day 2 ข้อ 87,Spectroscopy,PLE-CC1 ปี 2566 Day 2 ข้อ 2,ข้อสอบจริง,ปี 2566
8,"จากการตรวจวิเคราะห์เอกลักษณ์ของตัวยาสำคัญด้วย Infrared Spectroscopy (IR Spectrum) พบพีคการดูดกลืนแสงที่คมชัดและรุนแรง (Strong sharp band) ที่เลขคลื่นประมาณ 1,700 cm⁻¹ (1690 - 1750 cm⁻¹) พีคดังกล่าวแสดงถึงการสั่นแบบยืดตัว (Stretching vibration) ของหมู่ฟังก์ชันใดในโครงสร้างโมเลกุล",,"Carbonyl group (C=O stretching เช่น ใน ketone, ester, carboxylic acid)",Hydroxyl group (O-H stretching ใน alcohol หรือ phenol),Amine group (N-H stretching ใน primary หรือ secondary amine),Alkyne group (C≡C stretching),Aromatic ring (C=C aromatic stretching),1,"✅ คำตอบที่ถูกต้อง: ข้อ ก. Carbonyl group (C=O stretching เช่น ใน ketone, ester, carboxylic acid)

💡 Background:
IR Spectroscopy อาศัยการดูดกลืนพลังงานรังสีอินฟราเรดที่จำเพาะต่อการสั่นของพันธะโควาเลนต์ โดยช่วงเลขคลื่น 1,500 - 4,000 cm⁻¹ คือ Functional Group Region

🎯 ทำไมข้อนี้ถึงถูก:
พันธะ Carbonyl (C=O) มีความแตกต่างของสภาพขั้วสูงมาก (High dipole moment) จึงดูดกลืนรังสี IR ได้อย่างรุนแรงและเกิดพีคคมชัดเด่นชัดที่สุดในสเปกตรัมที่ช่วงความถี่ 1,680 - 1,750 cm⁻¹ (เช่น Ketone ~1715 cm⁻¹, Ester ~1735 cm⁻¹, Carboxylic acid ~1710 cm⁻¹)

🔍 ข้ออื่นผิดเพราะอะไร:
• ข้อ ข. (O-H stretch): เกิดพีคกว้างมาก (Broad band) ที่ 3,200 - 3,600 cm⁻¹
• ข้อ ค. (N-H stretch): เกิดพีคที่ 3,300 - 3,500 cm⁻¹
• ข้อ ง. (C≡C stretch): เกิดพีคแหลมปานกลางที่ 2,100 - 2,260 cm⁻¹
• ข้อ จ. (C=C aromatic): เกิดพีคหลายพีคที่ 1,450 - 1,600 cm⁻¹

📖 Guideline อ้างอิง:
Silverstein Spectrometric Identification of Organic Compounds & USP <197> Spectrophotometric Identification Tests

📌 จุดจำก่อนสอบ:
• C=O Carbonyl: พีคคมรุนแรงเด่นที่สุดที่ ~1700 cm⁻¹
• O-H Alcohol/Acid: พีคกว้างเหมือนลิ้นที่ ~3300 cm⁻¹ (Carboxylic acid O-H กว้างคลุม 2500-3300 cm⁻¹)",Infrared (IR) Spectroscopy,ข้อสอบจริง PLE CC 1 ปี 2565 Day 1 ข้อ 45,Spectroscopy,PLE-CC1 ปี 2566 Day 2 ข้อ 3,ข้อสอบจริง,ปี 2566
9,จากโครงสร้างและการควบคุมคุณภาพของยา Griseofulvin การตรวจสอบเอกลักษณ์เฉพาะทางกายภาพข้อใดต่อไปนี้ช่วยยืนยันโครงสร้างผลึกและความแตกต่างของ Polymorphic forms ได้อย่างจำเพาะเจาะจงที่สุด,,Infrared (IR) Spectroscopy และ X-ray Powder Diffraction (XRPD),UV-Vis Spectrophotometry,Thin Layer Chromatography (TLC),Refractive Index,Loss on Drying,1,"✅ คำตอบที่ถูกต้อง: ข้อ ก. Infrared (IR) Spectroscopy และ X-ray Powder Diffraction (XRPD)

💡 Background:
ยา Griseofulvin เป็นยาต้านเชื้อราที่ละลายน้ำได้น้อยมาก (Biopharmaceutics Classification System; BCS Class II) ขนาดผลึกและรูปผลึก (Polymorphism) มีผลกระทบอย่างมีนัยสำคัญต่ออัตราการละลายและการดูดซึมเข้าร่างกาย (Bioavailability)

🎯 ทำไมข้อนี้ถึงถูก:
การจำแนกความแตกต่างของผลึกหลายรูป (Polymorphs) และการพิสูจน์เอกลักษณ์โครงสร้างของแข็งที่จำเพาะ ต้องอาศัยเทคนิค Solid-state Characterization ได้แก่ X-ray Powder Diffraction (XRPD) และ Solid-state FTIR Spectroscopy (KBr disc หรือ ATR) ซึ่งสามารถตรวจจับความแตกต่างของการจัดเรียงตัวของโมเลกุลในโครงสร้างแลตทิซผลึกและพันธะไฮโดรเจนระหว่างโมเลกุลได้อย่างแม่นยำ

🔍 ข้ออื่นผิดเพราะอะไร:
• ข้อ ข. (UV-Vis): เมื่อนำตัวยาไปละลายในตัวทำละลาย โครงสร้างผลึกจะถูกทำลายไป จึงไม่สามารถแยกความแตกต่างของรูปผลึกได้
• ข้อ ค. (TLC): แยกสารตามขั้วเคมีในสารละลาย ไม่บอกลักษณะผลึก
• ข้อ ง. และ จ.: ไม่สามารถตรวจรูปผลึกที่ซับซ้อนได้

📖 Guideline อ้างอิง:
USP <941> Characterization of Crystalline and Partially Crystalline Solids by X-ray Powder Diffraction & British Pharmacopoeia (BP)

📌 จุดจำก่อนสอบ:
• Polymorphism Characterization: ใช้ XRPD, DSC, Hot-stage microscopy และ Solid-state IR",Polymorphism & Solid-state Spectroscopy,ข้อสอบจริง PLE CC 1 ปี 2561 ข้อ 2,Spectroscopy,PLE_CC1_2564_All_Key ข้อ 136,ข้อสอบจริง,ปี 2564
9,โครงสร้าง ethambutol ข้อใดถูก M69608 X neediererz restora ninata do nee ↑,,เป็น zwitter ion,ละลายได้ดีในกรด,ดูดกลืนแสงช่วง UV,มี stereomer 1 ตำแหน่ง,ขับออกได้ดีในสภาวะปัสสาวะเป็นด่าง,1,"✅ คำตอบที่ถูกต้อง: ข้อ ก. เป็น zwitter ion

💡 Background:
การวิเคราะห์และการควบคุมคุณภาพทางเภสัชกรรม (QC) ต้องเลือกเทคนิคที่ให้ accuracy, precision และ specificity ตามเกณฑ์มาตรฐานเภสัชตำรับ

🎯 ทำไมข้อนี้ถึงถูก:
เป็น zwitter ion 💡 คำอธิบายและเหตุผลทางเภสัชกรรม:
💡 คำอธิบายและเหตุผลทางเภสัชกรรม:
การเลือก เป็น zwitter ion เป็นคำตอบที่ถูกต้องและสอดคล้องกับ evidence-based guidelines ของภาวะ UV-Vis Spectroscopy โดยมี clinical efficacy สูงสุดในการรักษาและมี safety profile ที่เหมาะสม
USP/NF, British Pharmacopoeia (BP) และ Remington: The Science and Practice of Pharmacy (หัวข้อ UV-Vis Spectroscopy)

🔍 ข้ออื่นผิดเพราะอะไร:
• ข้อ ข. (ละลายได้ดีในกรด): ข้อนี้ไม่ใช่คำตอบที่ถูกต้องสำหรับภาวะ UV-Vis Spectroscopy เนื่องจากกลไกการออกฤทธิ์, efficacy หรือข้อบ่งใช้ไม่ตรงกับโจทย์ที่กำหนด
• ข้อ ค. (ดูดกลืนแสงช่วง UV): ข้อนี้ไม่ใช่คำตอบที่ถูกต้องสำหรับภาวะ UV-Vis Spectroscopy เนื่องจากกลไกการออกฤทธิ์, efficacy หรือข้อบ่งใช้ไม่ตรงกับโจทย์ที่กำหนด
• ข้อ ง. (มี stereomer 1 ตำแหน่ง): ข้อนี้ไม่ใช่คำตอบที่ถูกต้องสำหรับภาวะ UV-Vis Spectroscopy เนื่องจากกลไกการออกฤทธิ์, efficacy หรือข้อบ่งใช้ไม่ตรงกับโจทย์ที่กำหนด
• ข้อ จ. (ขับออกได้ดีในสภาวะปัสสาวะเป็นด่าง): ข้อนี้ไม่ใช่คำตอบที่ถูกต้องสำหรับภาวะ UV-Vis Spectroscopy เนื่องจากกลไกการออกฤทธิ์, efficacy หรือข้อบ่งใช้ไม่ตรงกับโจทย์ที่กำหนด

📖 Guideline อ้างอิง:
The United States Pharmacopeia (USP-NF 2024) General Chapter <851> Spectrophotometry and Light-Scattering & British Pharmacopoeia (BP 2024)

📌 จุดจำก่อนสอบ:
• Excipient Function: แม่นยำในบทบาทหน้าที่ของ excipients (diluent, binder, disintegrant, lubricant)
• Quality Specs: จำเกณฑ์ pharmacopoeia limits สำหรับ stability, dissolution และ uniformity
• Defect Troubleshooting: วิเคราะห์สาเหตุและวิธีแก้ไขปัญหา formulation defects เชิงสูตรตำรับ",,UV-Vis Spectroscopy,Product,ข้อ 14 (PLE_CC1_2562_Key.md),ข้อสอบจริง,ปี 2562
10,จากสูตรโครงสร้างของยา Triprolidine โครงสร้างหรือส่วนใดของโมเลกุลทำหน้าที่เป็น Chromophore ที่ทำให้สารสามารถตรวจวิเคราะห์ได้ด้วยเทคนิค UV-Vis Spectrophotometry,,Phenyl ring (และ Pyridyl ring ที่มี conjugated double bonds),Pyrrolidine ring (วง aliphatic heterocyclic amine),Methyl group,Ethylene bridge ที่ไม่มี conjugation,Aliphatic tertiary amine,1,"✅ คำตอบที่ถูกต้อง: ข้อ ก. Phenyl ring (และ Pyridyl ring ที่มี conjugated double bonds)

💡 Background:
การดูดกลืนแสงในช่วง UV-Visible (200-800 nm) เกิดขึ้นเมื่อโมเลกุลมีหมู่อะตอมที่ไม่อิ่มตัวหรือมีระบบคอนจูเกชัน เรียกว่า โครโมฟอร์ (Chromophore) ซึ่งทำให้อิเล็กตรอนเกิดการส่งผ่านพลังงาน (π → π* transition)

🎯 ทำไมข้อนี้ถึงถูก:
ในโครงสร้างของ Triprolidine มีหมู่อะโรมาติกคือ Phenyl ring และ 2-Pyridyl ring ที่เชื่อมต่อกับพันธะคู่ (Conjugated double bond system) ซึ่งทำหน้าที่เป็น Chromophore ดูดกลืนรังสี UV ที่ความยาวคลื่นประมาณ 230-290 nm ได้อย่างมีประสิทธิภาพ

🔍 ข้ออื่นผิดเพราะอะไร:
• ข้อ ข. (Pyrrolidine ring): เป็นวงแหวนอิ่มตัว (Saturated cyclic amine) มีเฉพาะพันธะเดี่ยว (σ bond) และ n-electron ซึ่งดูดกลืนแสงที่ความยาวคลื่นสั้นมากในระดับ Vacuum UV (< 190 nm) ไม่สามารถตรวจวิเคราะห์ด้วย UV ทั่วไปได้
• ข้อ ค., ง., จ.: เป็นพันธะเดี่ยวอิ่มตัว (Aliphatic single bonds) ไม่ใช่ chromophore

📖 Guideline อ้างอิง:
Silverstein & Webster: Spectrometric Identification of Organic Compounds & Clarke's Analysis of Drugs and Poisons

📌 จุดจำก่อนสอบ:
• UV Absorption Requirement: โมเลกุลต้องมี Conjugated system หรือ Aromatic ring (π → π* transition)
• Auxochrome: หมู่อะตอมที่มี non-bonding electrons (เช่น -OH, -NH2) ที่ช่วยเพิ่มการดูดกลืนแสงและเลื่อนความยาวคลื่นไปทางสีแดง (Bathochromic shift)",UV-Vis Spectroscopy,ข้อสอบจริง PLE CC 1 ปี 2560 Set 1,Product,ข้อ 6 (PLE_CC1_2560 22 April Set 1.md),ข้อสอบจริง,ปี 2560
